month,month_end_date,month_end_close
1935-05,1935-05-31,9.579999923706056
1935-06,1935-06-28,10.239999771118164
1935-07,1935-07-31,11.079999923706056
1935-08,1935-08-30,11.239999771118164
1935-09,1935-09-30,11.59000015258789
1935-10,1935-10-31,12.460000038146973
1935-11,1935-11-29,12.9399995803833
1935-12,1935-12-31,13.43000030517578
1936-01,1936-01-31,14.3100004196167
1936-02,1936-02-28,14.600000381469728
1936-03,1936-03-31,14.920000076293944
1936-04,1936-04-30,13.770000457763672
1936-05,1936-05-29,14.399999618530272
1936-06,1936-06-30,14.84000015258789
1936-07,1936-07-31,15.850000381469728
1936-08,1936-08-31,15.989999771118164
1936-09,1936-09-30,16.010000228881836
1936-10,1936-10-30,17.229999542236328
1936-11,1936-11-30,17.280000686645508
1936-12,1936-12-31,17.18000030517578
1937-01,1937-01-29,17.770000457763672
1937-02,1937-02-26,18.059999465942383
1937-03,1937-03-31,17.920000076293945
1937-04,1937-04-30,16.43000030517578
1937-05,1937-05-28,16.260000228881836
1937-06,1937-06-30,15.399999618530272
1937-07,1937-07-30,16.770000457763672
1937-08,1937-08-31,16.040000915527344
1937-09,1937-09-30,13.760000228881836
1937-10,1937-10-29,12.350000381469728
1937-11,1937-11-30,11.109999656677246
1937-12,1937-12-31,10.550000190734863
1938-01,1938-01-31,10.6899995803833
1938-02,1938-02-28,11.34000015258789
1938-03,1938-03-31,8.5
1938-04,1938-04-29,9.779999732971191
1938-05,1938-05-31,9.270000457763672
1938-06,1938-06-30,11.5600004196167
1938-07,1938-07-29,12.329999923706056
1938-08,1938-08-31,12.0600004196167
1938-09,1938-09-30,12.239999771118164
1938-10,1938-10-31,13.170000076293944
1938-11,1938-11-30,12.729999542236328
1938-12,1938-12-30,13.140000343322754
1939-01,1939-01-31,12.300000190734863
1939-02,1939-02-28,12.699999809265137
1939-03,1939-03-31,10.979999542236328
1939-04,1939-04-28,10.93000030517578
1939-05,1939-05-31,11.600000381469728
1939-06,1939-06-30,10.859999656677246
1939-07,1939-07-31,12.039999961853027
1939-08,1939-08-31,11.18000030517578
1939-09,1939-09-29,12.789999961853027
1939-10,1939-10-31,12.829999923706056
1939-11,1939-11-30,12.199999809265137
1939-12,1939-12-29,12.460000038146973
1940-01,1940-01-31,12.050000190734863
1940-02,1940-02-29,12.130000114440918
1940-03,1940-03-29,12.18000030517578
1940-04,1940-04-30,12.1899995803833
1940-05,1940-05-31,9.270000457763672
1940-06,1940-06-28,9.979999542236328
1940-07,1940-07-31,10.289999961853027
1940-08,1940-08-30,10.5
1940-09,1940-09-30,10.65999984741211
1940-10,1940-10-31,11.079999923706056
1940-11,1940-11-29,10.56999969482422
1940-12,1940-12-31,10.579999923706056
1941-01,1941-01-31,10.06999969482422
1941-02,1941-02-28,9.920000076293944
1941-03,1941-03-31,9.960000038146973
1941-04,1941-04-30,9.3100004196167
1941-05,1941-05-29,9.380000114440918
1941-06,1941-06-30,9.850000381469728
1941-07,1941-07-31,10.390000343322754
1941-08,1941-08-29,10.279999732971191
1941-09,1941-09-30,10.199999809265137
1941-10,1941-10-31,9.5
1941-11,1941-11-28,9.119999885559082
1941-12,1941-12-31,8.6899995803833
1942-01,1942-01-30,8.850000381469727
1942-02,1942-02-27,8.59000015258789
1942-03,1942-03-31,8.010000228881836
1942-04,1942-04-30,7.659999847412109
1942-05,1942-05-29,8.149999618530273
1942-06,1942-06-30,8.300000190734863
1942-07,1942-07-31,8.5600004196167
1942-08,1942-08-31,8.619999885559082
1942-09,1942-09-30,8.850000381469727
1942-10,1942-10-30,9.359999656677246
1942-11,1942-11-30,9.289999961853027
1942-12,1942-12-31,9.770000457763672
1943-01,1943-01-29,10.4399995803833
1943-02,1943-02-26,10.970000267028809
1943-03,1943-03-31,11.579999923706056
1943-04,1943-04-30,11.59000015258789
1943-05,1943-05-28,12.050000190734863
1943-06,1943-06-30,12.350000381469728
1943-07,1943-07-30,11.850000381469728
1943-08,1943-08-31,11.800000190734863
1943-09,1943-09-30,12.079999923706056
1943-10,1943-10-29,11.90999984741211
1943-11,1943-11-30,11.020000457763672
1943-12,1943-12-31,11.670000076293944
1944-01,1944-01-31,11.850000381469728
1944-02,1944-02-29,11.81999969482422
1944-03,1944-03-31,12.020000457763672
1944-04,1944-04-28,11.869999885559082
1944-05,1944-05-31,12.350000381469728
1944-06,1944-06-30,12.979999542236328
1944-07,1944-07-31,12.710000038146973
1944-08,1944-08-31,12.81999969482422
1944-09,1944-09-29,12.739999771118164
1944-10,1944-10-31,12.779999732971191
1944-11,1944-11-30,12.829999923706056
1944-12,1944-12-29,13.279999732971191
1945-01,1945-01-31,13.470000267028809
1945-02,1945-02-28,14.300000190734863
1945-03,1945-03-29,13.609999656677246
1945-04,1945-04-30,14.84000015258789
1945-05,1945-05-31,15.010000228881836
1945-06,1945-06-29,14.869999885559082
1945-07,1945-07-31,14.65999984741211
1945-08,1945-08-31,15.510000228881836
1945-09,1945-09-28,16.049999237060547
1945-10,1945-10-31,16.649999618530273
1945-11,1945-11-30,17.190000534057617
1945-12,1945-12-31,17.360000610351562
1946-01,1946-01-31,18.56999969482422
1946-02,1946-02-28,17.280000686645508
1946-03,1946-03-29,18.040000915527344
1946-04,1946-04-30,18.76000022888184
1946-05,1946-05-31,19.18000030517578
1946-06,1946-06-28,18.43000030517578
1946-07,1946-07-31,17.959999084472656
1946-08,1946-08-30,16.649999618530273
1946-09,1946-09-30,14.960000038146973
1946-10,1946-10-31,14.84000015258789
1946-11,1946-11-29,14.68000030517578
1946-12,1946-12-31,15.300000190734863
1947-01,1947-01-31,15.65999984741211
1947-02,1947-02-28,15.43000030517578
1947-03,1947-03-31,15.170000076293944
1947-04,1947-04-30,14.579999923706056
1947-05,1947-05-29,14.449999809265137
1947-06,1947-06-30,15.210000038146973
1947-07,1947-07-31,15.760000228881836
1947-08,1947-08-29,15.31999969482422
1947-09,1947-09-30,15.109999656677246
1947-10,1947-10-31,15.43000030517578
1947-11,1947-11-28,14.979999542236328
1947-12,1947-12-31,15.300000190734863
1948-01,1948-01-30,14.68000030517578
1948-02,1948-02-27,13.93000030517578
1948-03,1948-03-31,15.079999923706056
1948-04,1948-04-30,15.479999542236328
1948-05,1948-05-28,16.690000534057617
1948-06,1948-06-30,16.739999771118164
1948-07,1948-07-30,15.850000381469728
1948-08,1948-08-31,15.970000267028809
1948-09,1948-09-30,15.489999771118164
1948-10,1948-10-29,16.5
1948-11,1948-11-30,14.75
1948-12,1948-12-31,15.199999809265137
1949-01,1949-01-31,15.220000267028809
1949-02,1949-02-28,14.619999885559082
1949-03,1949-03-31,15.0600004196167
1949-04,1949-04-29,14.710000038146973
1949-05,1949-05-31,14.1899995803833
1949-06,1949-06-30,14.15999984741211
1949-07,1949-07-29,15.039999961853027
1949-08,1949-08-31,15.220000267028809
1949-09,1949-09-30,15.579999923706056
1949-10,1949-10-31,16.040000915527344
1949-11,1949-11-30,16.059999465942383
1949-12,1949-12-30,16.790000915527344
1950-01,1950-01-31,17.049999237060547
1950-02,1950-02-28,17.219999313354492
1950-03,1950-03-31,17.290000915527344
1950-04,1950-04-28,17.959999084472656
1950-05,1950-05-31,18.780000686645508
1950-06,1950-06-30,17.690000534057617
1950-07,1950-07-31,17.84000015258789
1950-08,1950-08-31,18.420000076293945
1950-09,1950-09-29,19.450000762939453
1950-10,1950-10-31,19.530000686645508
1950-11,1950-11-30,19.51000022888184
1950-12,1950-12-29,20.43000030517578
1951-01,1951-01-31,21.65999984741211
1951-02,1951-02-28,21.799999237060547
1951-03,1951-03-30,21.479999542236328
1951-04,1951-04-30,22.43000030517578
1951-05,1951-05-31,21.520000457763672
1951-06,1951-06-29,20.959999084472656
1951-07,1951-07-31,22.39999961853028
1951-08,1951-08-31,23.280000686645508
1951-09,1951-09-28,23.26000022888184
1951-10,1951-10-31,22.940000534057617
1951-11,1951-11-30,22.8799991607666
1951-12,1951-12-31,23.770000457763672
1952-01,1952-01-31,24.13999938964844
1952-02,1952-02-29,23.26000022888184
1952-03,1952-03-31,24.3700008392334
1952-04,1952-04-30,23.31999969482422
1952-05,1952-05-29,23.86000061035156
1952-06,1952-06-30,24.959999084472656
1952-07,1952-07-31,25.39999961853028
1952-08,1952-08-29,25.030000686645508
1952-09,1952-09-30,24.540000915527344
1952-10,1952-10-31,24.520000457763672
1952-11,1952-11-28,25.65999984741211
1952-12,1952-12-31,26.56999969482422
1953-01,1953-01-30,26.3799991607666
1953-02,1953-02-27,25.89999961853028
1953-03,1953-03-31,25.290000915527344
1953-04,1953-04-30,24.6200008392334
1953-05,1953-05-29,24.540000915527344
1953-06,1953-06-30,24.13999938964844
1953-07,1953-07-31,24.75
1953-08,1953-08-31,23.31999969482422
1953-09,1953-09-30,23.350000381469727
1953-10,1953-10-30,24.540000915527344
1953-11,1953-11-30,24.76000022888184
1953-12,1953-12-31,24.809999465942383
1954-01,1954-01-29,26.07999992370605
1954-02,1954-02-26,26.14999961853028
1954-03,1954-03-31,26.940000534057617
1954-04,1954-04-30,28.26000022888184
1954-05,1954-05-28,29.190000534057617
1954-06,1954-06-30,29.209999084472656
1954-07,1954-07-30,30.8799991607666
1954-08,1954-08-31,29.82999992370605
1954-09,1954-09-30,32.310001373291016
1954-10,1954-10-29,31.68000030517578
1954-11,1954-11-30,34.2400016784668
1954-12,1954-12-31,35.97999954223633
1955-01,1955-01-31,36.630001068115234
1955-02,1955-02-28,36.7599983215332
1955-03,1955-03-31,36.58000183105469
1955-04,1955-04-29,37.959999084472656
1955-05,1955-05-31,37.90999984741211
1955-06,1955-06-30,41.02999877929688
1955-07,1955-07-29,43.52000045776367
1955-08,1955-08-31,43.18000030517578
1955-09,1955-09-30,43.66999816894531
1955-10,1955-10-31,42.34000015258789
1955-11,1955-11-30,45.5099983215332
1955-12,1955-12-30,45.47999954223633
1956-01,1956-01-31,43.81999969482422
1956-02,1956-02-29,45.34000015258789
1956-03,1956-03-29,48.47999954223633
1956-04,1956-04-30,48.380001068115234
1956-05,1956-05-31,45.20000076293945
1956-06,1956-06-29,46.970001220703125
1956-07,1956-07-31,49.38999938964844
1956-08,1956-08-31,47.5099983215332
1956-09,1956-09-28,45.34999847412109
1956-10,1956-10-31,45.58000183105469
1956-11,1956-11-30,45.08000183105469
1956-12,1956-12-31,46.66999816894531
1957-01,1957-01-31,44.720001220703125
1957-02,1957-02-28,43.2599983215332
1957-03,1957-03-29,44.11000061035156
1957-04,1957-04-30,45.7400016784668
1957-05,1957-05-31,47.43000030517578
1957-06,1957-06-28,47.369998931884766
1957-07,1957-07-31,47.90999984741211
1957-08,1957-08-30,45.220001220703125
1957-09,1957-09-30,42.41999816894531
1957-10,1957-10-31,41.060001373291016
1957-11,1957-11-29,41.720001220703125
1957-12,1957-12-31,39.9900016784668
1958-01,1958-01-31,41.70000076293945
1958-02,1958-02-28,40.84000015258789
1958-03,1958-03-31,42.09999847412109
1958-04,1958-04-30,43.43999862670898
1958-05,1958-05-29,44.09000015258789
1958-06,1958-06-30,45.2400016784668
1958-07,1958-07-31,47.18999862670898
1958-08,1958-08-29,47.75
1958-09,1958-09-30,50.060001373291016
1958-10,1958-10-31,51.33000183105469
1958-11,1958-11-28,52.47999954223633
1958-12,1958-12-31,55.209999084472656
1959-01,1959-01-30,55.45000076293945
1959-02,1959-02-27,55.40999984741211
1959-03,1959-03-31,55.43999862670898
1959-04,1959-04-30,57.59000015258789
1959-05,1959-05-29,58.68000030517578
1959-06,1959-06-30,58.470001220703125
1959-07,1959-07-31,60.5099983215332
1959-08,1959-08-31,59.59999847412109
1959-09,1959-09-30,56.880001068115234
1959-10,1959-10-30,57.52000045776367
1959-11,1959-11-30,58.27999877929688
1959-12,1959-12-31,59.88999938964844
1960-01,1960-01-29,55.61000061035156
1960-02,1960-02-29,56.119998931884766
1960-03,1960-03-31,55.34000015258789
1960-04,1960-04-29,54.369998931884766
1960-05,1960-05-31,55.83000183105469
1960-06,1960-06-30,56.91999816894531
1960-07,1960-07-29,55.5099983215332
1960-08,1960-08-31,56.959999084472656
1960-09,1960-09-30,53.52000045776367
1960-10,1960-10-31,53.38999938964844
1960-11,1960-11-30,55.540000915527344
1960-12,1960-12-30,58.11000061035156
1961-01,1961-01-31,61.77999877929688
1961-02,1961-02-28,63.43999862670898
1961-03,1961-03-30,65.05999755859375
1961-04,1961-04-28,65.30999755859375
1961-05,1961-05-31,66.55999755859375
1961-06,1961-06-30,64.63999938964844
1961-07,1961-07-31,66.76000213623047
1961-08,1961-08-31,68.06999969482422
1961-09,1961-09-29,66.7300033569336
1961-10,1961-10-31,68.62000274658203
1961-11,1961-11-30,71.31999969482422
1961-12,1961-12-29,71.55000305175781
1962-01,1962-01-31,68.83999633789062
1962-02,1962-02-28,69.95999908447266
1962-03,1962-03-30,69.55000305175781
1962-04,1962-04-30,65.23999786376953
1962-05,1962-05-31,59.630001068115234
1962-06,1962-06-29,54.75
1962-07,1962-07-31,58.22999954223633
1962-08,1962-08-31,59.119998931884766
1962-09,1962-09-28,56.27000045776367
1962-10,1962-10-31,56.52000045776367
1962-11,1962-11-30,62.2599983215332
1962-12,1962-12-31,63.09999847412109
1963-01,1963-01-31,66.19999694824219
1963-02,1963-02-28,64.29000091552734
1963-03,1963-03-29,66.56999969482422
1963-04,1963-04-30,69.80000305175781
1963-05,1963-05-31,70.80000305175781
1963-06,1963-06-28,69.37000274658203
1963-07,1963-07-31,69.12999725341797
1963-08,1963-08-30,72.5
1963-09,1963-09-30,71.69999694824219
1963-10,1963-10-31,74.01000213623047
1963-11,1963-11-29,73.2300033569336
1963-12,1963-12-31,75.0199966430664
1964-01,1964-01-31,77.04000091552734
1964-02,1964-02-28,77.80000305175781
1964-03,1964-03-31,78.9800033569336
1964-04,1964-04-30,79.45999908447266
1964-05,1964-05-28,80.37000274658203
1964-06,1964-06-30,81.69000244140625
1964-07,1964-07-31,83.18000030517578
1964-08,1964-08-31,81.83000183105469
1964-09,1964-09-30,84.18000030517578
1964-10,1964-10-30,84.86000061035156
1964-11,1964-11-30,84.41999816894531
1964-12,1964-12-31,84.75
1965-01,1965-01-29,87.55999755859375
1965-02,1965-02-26,87.43000030517578
1965-03,1965-03-31,86.16000366210938
1965-04,1965-04-30,89.11000061035156
1965-05,1965-05-28,88.41999816894531
1965-06,1965-06-30,84.12000274658203
1965-07,1965-07-30,85.25
1965-08,1965-08-31,87.16999816894531
1965-09,1965-09-30,89.95999908447266
1965-10,1965-10-29,92.41999816894533
1965-11,1965-11-30,91.61000061035156
1965-12,1965-12-31,92.43000030517578
1966-01,1966-01-31,92.87999725341795
1966-02,1966-02-28,91.22000122070312
1966-03,1966-03-31,89.2300033569336
1966-04,1966-04-29,91.05999755859376
1966-05,1966-05-31,86.12999725341797
1966-06,1966-06-30,84.73999786376953
1966-07,1966-07-29,83.5999984741211
1966-08,1966-08-31,77.0999984741211
1966-09,1966-09-30,76.55999755859375
1966-10,1966-10-31,80.19999694824219
1966-11,1966-11-30,80.44999694824219
1966-12,1966-12-30,80.33000183105469
1967-01,1967-01-31,86.61000061035156
1967-02,1967-02-28,86.77999877929688
1967-03,1967-03-31,90.1999969482422
1967-04,1967-04-28,94.01000213623048
1967-05,1967-05-31,89.08000183105469
1967-06,1967-06-30,90.63999938964844
1967-07,1967-07-31,94.75
1967-08,1967-08-31,93.63999938964844
1967-09,1967-09-29,96.70999908447266
1967-10,1967-10-31,93.3000030517578
1967-11,1967-11-30,94.0
1967-12,1967-12-29,96.47000122070312
1968-01,1968-01-31,92.23999786376952
1968-02,1968-02-29,89.36000061035156
1968-03,1968-03-29,90.1999969482422
1968-04,1968-04-30,97.45999908447266
1968-05,1968-05-31,98.68000030517578
1968-06,1968-06-28,99.58000183105467
1968-07,1968-07-30,97.73999786376952
1968-08,1968-08-30,98.86000061035156
1968-09,1968-09-30,102.66999816894533
1968-10,1968-10-31,103.41000366210938
1968-11,1968-11-29,108.37000274658205
1968-12,1968-12-31,103.86000061035156
1969-01,1969-01-31,103.01000213623048
1969-02,1969-02-28,98.12999725341795
1969-03,1969-03-28,101.51000213623048
1969-04,1969-04-30,103.69000244140624
1969-05,1969-05-29,103.45999908447266
1969-06,1969-06-30,97.70999908447266
1969-07,1969-07-31,91.83000183105467
1969-08,1969-08-29,95.51000213623048
1969-09,1969-09-30,93.12000274658205
1969-10,1969-10-31,97.12000274658205
1969-11,1969-11-28,93.80999755859376
1969-12,1969-12-31,92.05999755859376
1970-01,1970-01-30,85.0199966430664
1970-02,1970-02-27,89.5
1970-03,1970-03-31,89.62999725341797
1970-04,1970-04-30,81.5199966430664
1970-05,1970-05-29,76.55000305175781
1970-06,1970-06-30,72.72000122070312
1970-07,1970-07-31,78.05000305175781
1970-08,1970-08-31,81.5199966430664
1970-09,1970-09-30,84.30000305175781
1970-10,1970-10-30,83.25
1970-11,1970-11-30,87.19999694824219
1970-12,1970-12-31,92.1500015258789
1971-01,1971-01-29,95.87999725341795
1971-02,1971-02-26,96.75
1971-03,1971-03-31,100.30999755859376
1971-04,1971-04-30,103.9499969482422
1971-05,1971-05-28,99.62999725341795
1971-06,1971-06-30,98.6999969482422
1971-07,1971-07-30,95.58000183105467
1971-08,1971-08-31,99.02999877929688
1971-09,1971-09-30,98.33999633789062
1971-10,1971-10-29,94.2300033569336
1971-11,1971-11-30,93.98999786376952
1971-12,1971-12-31,102.08999633789062
1972-01,1972-01-31,103.94000244140624
1972-02,1972-02-29,106.56999969482422
1972-03,1972-03-30,107.1999969482422
1972-04,1972-04-28,107.66999816894533
1972-05,1972-05-31,109.52999877929688
1972-06,1972-06-30,107.13999938964844
1972-07,1972-07-31,107.38999938964844
1972-08,1972-08-31,111.08999633789062
1972-09,1972-09-29,110.5500030517578
1972-10,1972-10-31,111.58000183105467
1972-11,1972-11-30,116.66999816894533
1972-12,1972-12-29,118.0500030517578
1973-01,1973-01-31,116.02999877929688
1973-02,1973-02-28,111.68000030517578
1973-03,1973-03-30,111.5199966430664
1973-04,1973-04-30,106.97000122070312
1973-05,1973-05-31,104.9499969482422
1973-06,1973-06-29,104.26000213623048
1973-07,1973-07-31,108.22000122070312
1973-08,1973-08-31,104.25
1973-09,1973-09-28,108.43000030517578
1973-10,1973-10-31,108.29000091552734
1973-11,1973-11-30,95.95999908447266
1973-12,1973-12-31,97.5500030517578
1974-01,1974-01-31,96.56999969482422
1974-02,1974-02-28,96.22000122070312
1974-03,1974-03-29,93.9800033569336
1974-04,1974-04-30,90.30999755859376
1974-05,1974-05-31,87.27999877929688
1974-06,1974-06-28,86.0
1974-07,1974-07-31,79.30999755859375
1974-08,1974-08-30,72.1500015258789
1974-09,1974-09-30,63.540000915527344
1974-10,1974-10-31,73.9000015258789
1974-11,1974-11-29,69.97000122070312
1974-12,1974-12-31,68.55999755859375
1975-01,1975-01-31,76.9800033569336
1975-02,1975-02-28,81.58999633789062
1975-03,1975-03-31,83.36000061035156
1975-04,1975-04-30,87.30000305175781
1975-05,1975-05-30,91.1500015258789
1975-06,1975-06-30,95.19000244140624
1975-07,1975-07-31,88.75
1975-08,1975-08-29,86.87999725341797
1975-09,1975-09-30,83.87000274658203
1975-10,1975-10-31,89.04000091552734
1975-11,1975-11-28,91.23999786376952
1975-12,1975-12-31,90.19000244140624
1976-01,1976-01-30,100.86000061035156
1976-02,1976-02-27,99.70999908447266
1976-03,1976-03-31,102.7699966430664
1976-04,1976-04-30,101.63999938964844
1976-05,1976-05-28,100.18000030517578
1976-06,1976-06-30,104.27999877929688
1976-07,1976-07-30,103.44000244140624
1976-08,1976-08-31,102.91000366210938
1976-09,1976-09-30,105.23999786376952
1976-10,1976-10-29,102.9000015258789
1976-11,1976-11-30,102.0999984741211
1976-12,1976-12-31,107.45999908447266
1977-01,1977-01-31,102.02999877929688
1977-02,1977-02-28,99.81999969482422
1977-03,1977-03-31,98.41999816894533
1977-04,1977-04-29,98.44000244140624
1977-05,1977-05-31,96.12000274658205
1977-06,1977-06-30,100.4800033569336
1977-07,1977-07-29,98.8499984741211
1977-08,1977-08-31,96.7699966430664
1977-09,1977-09-30,96.52999877929688
1977-10,1977-10-31,92.33999633789062
1977-11,1977-11-30,94.83000183105467
1977-12,1977-12-30,95.0999984741211
1978-01,1978-01-31,89.25
1978-02,1978-02-28,87.04000091552734
1978-03,1978-03-31,89.20999908447266
1978-04,1978-04-28,96.83000183105467
1978-05,1978-05-31,97.23999786376952
1978-06,1978-06-30,95.52999877929688
1978-07,1978-07-31,100.68000030517578
1978-08,1978-08-31,103.29000091552734
1978-09,1978-09-29,102.54000091552734
1978-10,1978-10-31,93.1500015258789
1978-11,1978-11-30,94.6999969482422
1978-12,1978-12-29,96.11000061035156
1979-01,1979-01-31,99.93000030517578
1979-02,1979-02-28,96.27999877929688
1979-03,1979-03-30,101.58999633789062
1979-04,1979-04-30,101.76000213623048
1979-05,1979-05-31,99.08000183105467
1979-06,1979-06-29,102.91000366210938
1979-07,1979-07-31,103.80999755859376
1979-08,1979-08-31,109.31999969482422
1979-09,1979-09-28,109.31999969482422
1979-10,1979-10-31,101.81999969482422
1979-11,1979-11-30,106.16000366210938
1979-12,1979-12-31,107.94000244140624
1980-01,1980-01-31,114.16000366210938
1980-02,1980-02-29,113.66000366210938
1980-03,1980-03-31,102.08999633789062
1980-04,1980-04-30,106.29000091552734
1980-05,1980-05-30,111.23999786376952
1980-06,1980-06-30,114.23999786376952
1980-07,1980-07-31,121.66999816894533
1980-08,1980-08-29,122.37999725341795
1980-09,1980-09-30,125.45999908447266
1980-10,1980-10-31,127.47000122070312
1980-11,1980-11-28,140.52000427246094
1980-12,1980-12-31,135.75999450683594
1981-01,1981-01-30,129.5500030517578
1981-02,1981-02-27,131.27000427246094
1981-03,1981-03-31,136.0
1981-04,1981-04-30,132.80999755859375
1981-05,1981-05-29,132.58999633789062
1981-06,1981-06-30,131.2100067138672
1981-07,1981-07-31,130.9199981689453
1981-08,1981-08-31,122.79000091552734
1981-09,1981-09-30,116.18000030517578
1981-10,1981-10-30,121.88999938964844
1981-11,1981-11-30,126.3499984741211
1981-12,1981-12-31,122.5500030517578
1982-01,1982-01-29,120.4000015258789
1982-02,1982-02-26,113.11000061035156
1982-03,1982-03-31,111.95999908447266
1982-04,1982-04-30,116.44000244140624
1982-05,1982-05-28,111.87999725341795
1982-06,1982-06-30,109.61000061035156
1982-07,1982-07-30,107.08999633789062
1982-08,1982-08-31,119.51000213623048
1982-09,1982-09-30,120.41999816894533
1982-10,1982-10-29,133.72000122070312
1982-11,1982-11-30,138.52999877929688
1982-12,1982-12-31,140.63999938964844
1983-01,1983-01-31,145.3000030517578
1983-02,1983-02-28,148.05999755859375
1983-03,1983-03-31,152.9600067138672
1983-04,1983-04-29,164.42999267578125
1983-05,1983-05-31,162.38999938964844
1983-06,1983-06-30,167.63999938964844
1983-07,1983-07-29,162.55999755859375
1983-08,1983-08-31,164.39999389648438
1983-09,1983-09-30,166.07000732421875
1983-10,1983-10-31,163.5500030517578
1983-11,1983-11-30,166.39999389648438
1983-12,1983-12-30,164.92999267578125
1984-01,1984-01-31,163.41000366210938
1984-02,1984-02-29,157.05999755859375
1984-03,1984-03-30,159.17999267578125
1984-04,1984-04-30,160.0500030517578
1984-05,1984-05-31,150.5500030517578
1984-06,1984-06-29,153.17999267578125
1984-07,1984-07-31,150.66000366210938
1984-08,1984-08-31,166.67999267578125
1984-09,1984-09-28,166.10000610351562
1984-10,1984-10-31,166.08999633789062
1984-11,1984-11-30,163.5800018310547
1984-12,1984-12-31,167.24000549316406
1985-01,1985-01-31,179.6300048828125
1985-02,1985-02-28,181.17999267578125
1985-03,1985-03-29,180.6600036621093
1985-04,1985-04-30,179.8300018310547
1985-05,1985-05-31,189.5500030517578
1985-06,1985-06-28,191.8500061035156
1985-07,1985-07-31,190.9199981689453
1985-08,1985-08-30,188.6300048828125
1985-09,1985-09-30,182.0800018310547
1985-10,1985-10-31,189.82000732421875
1985-11,1985-11-29,202.1699981689453
1985-12,1985-12-31,211.27999877929688
1986-01,1986-01-31,211.77999877929688
1986-02,1986-02-28,226.9199981689453
1986-03,1986-03-31,238.8999938964844
1986-04,1986-04-30,235.5200042724609
1986-05,1986-05-30,247.3500061035156
1986-06,1986-06-30,250.83999633789065
